Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Price,Duration_Hr,Duration_Min,Total_Rating
Jet Airways,6/6/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1,10262,9h,30,8
SpiceJet,18/06/2019,Kolkata,Banglore,CCU → BLR,9:00,11:25,2:25,0,3873,2,25,8
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,11:40,18:50,7:10,1,11999,7,10,5
Jet Airways,27/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,18:20,12:35,18:15,2,14300,18,15,10
SpiceJet,12/5/2019,Mumbai,Hyderabad,BOM → HYD,13:15,14:45,1:30,0,2175,1,30,6
Air India,9/5/2019,Delhi,Cochin,DEL → CCU → BOM → COK,6:50,7:40,24:50:00,2,14431,24,50,9
Jet Airways,21/05/2019,Banglore,Delhi,BLR → DEL,6:00,8:45,2:45,0,7229,2,45,8
IndiGo,24/05/2019,Kolkata,Banglore,CCU → HYD → BLR,19:20,23:45,4:25,1,3809,4,25,7
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,7:30,19:15,11:45,1,7354,11,45,7
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,8:00,15:30,7:30,1,12537,7,30,7
Air India,27/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:15,6:15,1,9719,6,15,8
Jet Airways,24/05/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1:30,0,8040,1,30,7
Jet Airways,24/05/2019,Mumbai,Hyderabad,BOM → HYD,7:05,8:30,1:25,0,4995,1,25,10
IndiGo,6/4/2019,Banglore,Delhi,BLR → DEL,23:30,2:20,2:50,0,4591,2,50,10
Air India,6/6/2019,Kolkata,Banglore,CCU → GAU → BLR,16:45,21:05,28:20:00,1,7662,28,20,9
IndiGo,24/06/2019,Chennai,Kolkata,MAA → CCU,7:55,10:15,2:20,0,3850,2,20,10
IndiGo,3/6/2019,Delhi,Cochin,DEL → HYD → COK,8:35,22:30,13:55,1,6442,13,55,9
IndiGo,3/6/2019,Delhi,Cochin,DEL → PNQ → COK,23:30,4:35,5:05,1,11378,5,5,6
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,15:00,1:30,10:30,1,13377,10,30,5
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,8:25,20:45,12:20,1,10844,12,20,10
Jet Airways,9/5/2019,Mumbai,Hyderabad,BOM → HYD,7:05,8:30,1:25,0,4995,1,25,7
Air India,27/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,17:15,9:25,16:10,2,6057,16,10,8
Air India,6/4/2019,Banglore,Delhi,BLR → DEL,10:00,12:45,2:45,0,5176,2,45,9
Jet Airways,9/6/2019,Delhi,Cochin,DEL → JAI → BOM → COK,9:40,4:25,18:45,2,13014,18,45,10
IndiGo,1/3/2019,Banglore,New Delhi,BLR → HYD → DEL,16:15,20:35,4:20,1,7917,4,20,6
SpiceJet,9/6/2019,Delhi,Cochin,DEL → MAA → COK,6:05,11:20,5:15,1,5583,5,15,6
Jet Airways,9/4/2019,Banglore,Delhi,BLR → DEL,6:00,8:45,2:45,0,7229,2,45,6
IndiGo,18/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,1:30,9:30,1,7191,9,30,9
Jet Airways,12/6/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1:30,0,3210,1,30,10
IndiGo,6/3/2019,Delhi,Cochin,DEL → BOM → COK,15:00,1:35,10:35,1,14871,10,35,8
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,8:30,19:15,10:45,1,8099,10,45,9
Air India,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,9:25,18:30,9:05,1,8366,9,5,9
IndiGo,9/3/2019,Chennai,Kolkata,MAA → CCU,22:05,0:25,2:20,0,6297,2,20,6
Multiple carriers,3/3/2019,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1,18286,8h,30,7
Jet Airways,6/3/2019,Delhi,Cochin,DEL → BOM → COK,23:05,19:45,20:40,1,17024,20,40,10
Jet Airways,24/04/2019,Banglore,Delhi,BLR → DEL,7:10,10:10,3h,0,6144,3h,30,9
Multiple carriers,9/3/2019,Delhi,Cochin,DEL → BOM → COK,6:00,19:45,13:45,1,13941,13,45,9
Jet Airways,9/5/2019,Banglore,Delhi,BLR → DEL,18:55,22:00,3:05,0,3702,3,5,6
SpiceJet,15/05/2019,Delhi,Cochin,DEL → MAA → COK,6:05,11:20,5:15,1,5583,5,15,7
Air India,12/3/2019,Mumbai,Hyderabad,BOM → DEL → HYD,19:40,9:10,13:30,1,10208,13,30,9
Jet Airways,6/5/2019,Kolkata,Banglore,CCU → DEL → BLR,9:35,18:00,8:25,1,12384,8,25,5
Air India,6/5/2019,Kolkata,Banglore,CCU → DEL → AMD → BLR,10:00,5:25,19:25,2,17049,19,25,10
IndiGo,24/05/2019,Delhi,Cochin,DEL → BOM → COK,7:30,21:00,13:30,1,7006,13,30,7
Air India,12/6/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,5:50,20:25,14:35,2,12723,14,35,10
Jet Airways,12/6/2019,Delhi,Cochin,DEL → BOM → COK,8:00,4:25,20:25,1,10577,20,25,10
Jet Airways,6/3/2019,Banglore,New Delhi,BLR → BOM → DEL,7:00,19:10,12:10,1,16736,12,10,8
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,4:25,15:25,1,10262,15,25,10
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7:50,1,7155,7,50,6
Multiple carriers,3/3/2019,Delhi,Cochin,DEL → BOM → COK,10:20,1:35,15:15,1,15147,15,15,7
IndiGo,12/6/2019,Banglore,Delhi,BLR → DEL,7:10,10:05,2:55,0,4823,2,55,10
Air India,15/03/2019,Banglore,New Delhi,BLR → BBI → DEL,9:30,16:20,6:50,1,8714,6,50,7
Jet Airways,6/5/2019,Kolkata,Banglore,CCU → DEL → BLR,9:35,9:45,24:10:00,1,10953,24,10,6
Air India,12/6/2019,Kolkata,Banglore,CCU → DEL → BLR,20:30,20:25,23:55,1,10203,23,55,5
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,12:35,23:35,1,12373,23,35,9
Jet Airways,12/5/2019,Kolkata,Banglore,CCU → DEL → BLR,9:35,23:35,14h,1,14151,14h,30,7
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,9:35,14:25,28:50:00,1,12121,28,50,9
Vistara,9/4/2019,Delhi,Cochin,DEL → COK,6:00,9:10,3:10,0,5586,3,10,10
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,8:25,12:00,27:35:00,1,10844,27,35,9
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,4:40,7:30,1,8586,7,30,7
SpiceJet,6/6/2019,Delhi,Cochin,DEL → BLR → COK,17:55,22:50,4:55,1,5409,4,55,9
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,9:45,21:20,11:35,2,7178,11,35,10
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,10:20,1:30,15:10,1,5797,15,10,7
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,19:45,19:40,23:55,1,13759,23,55,9
Air India,24/05/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,7:00,1:20,18:20,2,13873,18,20,5
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,20:55,19:00,22:05,1,16079,22,5,10
SpiceJet,27/06/2019,Mumbai,Hyderabad,BOM → HYD,13:15,14:45,1:30,0,2017,1,30,10
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,18:15,22:15,1,10844,22,15,9
SpiceJet,24/04/2019,Banglore,Delhi,BLR → DEL,21:10,0:05,2:55,0,3573,2,55,10
Jet Airways,6/5/2019,Kolkata,Banglore,CCU → DEL → BLR,9:35,9:45,24:10:00,1,8066,24,10,10
Jet Airways,9/3/2019,Delhi,Cochin,DEL → BOM → COK,20:50,18:50,22h,1,14053,22h,30,6
Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,8:00,15:15,7:15,1,12284,7,15,9
SpiceJet,9/4/2019,Delhi,Cochin,DEL → MAA → COK,6:05,11:20,5:15,1,5351,5,15,6
Jet Airways,1/4/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,16:20,23:50,1,7064,23,50,6
IndiGo,3/3/2019,Delhi,Cochin,DEL → MAA → COK,2:05,7:25,5:20,1,10394,5,20,9
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,9:20,14:25,1,9663,14,25,6
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,17:30,1:30,8h,1,13727,8h,30,9
Jet Airways,12/6/2019,Delhi,Cochin,DEL → BOM → COK,19:15,12:35,17:20,1,10262,17,20,10
IndiGo,9/4/2019,Banglore,Delhi,BLR → DEL,7:10,10:05,2:55,0,4823,2,55,10
Air Asia,3/3/2019,Banglore,New Delhi,BLR → DEL,5:50,8:40,2:50,0,7074,2,50,9
Multiple carriers,6/3/2019,Delhi,Cochin,DEL → BOM → COK,7:05,21:00,13:55,1,17267,13,55,6
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,15:00,1:30,10:30,1,14067,10,30,4
IndiGo,1/5/2019,Banglore,Delhi,BLR → DEL,8:30,11:20,2:50,0,4823,2,50,4
IndiGo,27/04/2019,Banglore,Delhi,BLR → DEL,20:00,22:50,2:50,0,4823,2,50,10
Air Asia,12/5/2019,Banglore,Delhi,BLR → DEL,23:55,2:45,2:50,0,4483,2,50,8
Air India,6/6/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,9:50,23:15,13:25,2,14960,13,25,6
Air India,1/6/2019,Banglore,Delhi,BLR → DEL,17:00,19:45,2:45,0,7171,2,45,9
Air India,24/03/2019,Kolkata,Banglore,CCU → DEL → BLR,20:30,8:55,12:25,1,12173,12,25,7
Air India,3/3/2019,Banglore,New Delhi,BLR → AMD → DEL,0:30,8:45,8:15,1,11392,8,15,7
Air India,15/05/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00,13:45,27:45:00,2,16057,27,45,8
Jet Airways,9/6/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,10:55,17:55,1,14151,17,55,8
Jet Airways,21/05/2019,Banglore,Delhi,BLR → DEL,11:10,14:05,2:55,0,4030,2,55,6
IndiGo,6/5/2019,Kolkata,Banglore,CCU → BBI → BLR,19:35,23:15,3:40,1,4226,3,40,8
Air India,9/3/2019,Delhi,Cochin,DEL → BOM → COK,4:00,19:15,15:15,1,11050,15,15,10
Air India,21/05/2019,Banglore,Delhi,BLR → DEL,10:00,12:45,2:45,0,6961,2,45,10
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,9:15,12:05,1,14231,12,5,9
Jet Airways,27/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35,22h,2,10919,22h,30,9
Air India,27/03/2019,Delhi,Cochin,DEL → LKO → BOM → COK,7:00,19:15,12:15,2,10913,12,15,8
IndiGo,27/06/2019,Chennai,Kolkata,MAA → CCU,22:05,0:25,2:20,0,5277,2,20,8
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,10:20,21:00,10:40,1,7485,10,40,8
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,16:55,16:20,23:25,1,14231,23,25,9
GoAir,6/4/2019,Delhi,Cochin,DEL → AMD → COK,7:25,13:35,6:10,1,4201,6,10,8
Air India,6/3/2019,Delhi,Cochin,DEL → COK,14:10,17:10,3h,0,7931,3h,30,6
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → HYD → COK,14:55,22:30,7:35,1,6513,7,35,10
Jet Airways,6/6/2019,Delhi,Cochin,DEL → BOM → COK,15:00,19:00,28h,1,14714,28h,30,10
IndiGo,9/5/2019,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,5:25,1,6218,5,25,10
Air India,27/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,12:00,19:15,7:15,2,8603,7,15,9
IndiGo,21/05/2019,Delhi,Cochin,DEL → BOM → COK,8:30,21:00,12:30,1,7318,12,30,8
Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1,13504,9h,30,10
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → HYD → COK,7:05,22:30,15:25,1,9646,15,25,7
IndiGo,27/05/2019,Kolkata,Banglore,CCU → BLR,11:30,14:05,2:35,0,5224,2,35,4
Jet Airways,12/6/2019,Kolkata,Banglore,CCU → DEL → BLR,9:35,18:00,8:25,1,12692,8,25,10
Jet Airways,6/6/2019,Kolkata,Banglore,CCU → GAU → BLR,10:20,17:35,7:15,1,9689,7,15,10
Air India,9/5/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00,1:20,15:20,2,13033,15,20,9
Jet Airways,12/6/2019,Kolkata,Banglore,CCU → BOM → BLR,6:30,16:20,9:50,1,13626,9,50,5
IndiGo,18/05/2019,Mumbai,Hyderabad,BOM → HYD,19:05,20:35,1:30,0,2754,1,30,9
Jet Airways,9/5/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,9:45,16:45,1,12121,16,45,5
IndiGo,24/04/2019,Banglore,Delhi,BLR → DEL,1:30,4:15,2:45,0,3419,2,45,10
Air India,21/05/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00,1:20,15:20,2,13033,15,20,10
IndiGo,6/4/2019,Kolkata,Banglore,CCU → BLR,4:40,7:15,2:35,0,4174,2,35,9
Air Asia,27/06/2019,Delhi,Cochin,DEL → BLR → COK,7:55,22:25,14:30,1,6152,14,30,6
Air India,27/06/2019,Delhi,Cochin,DEL → COK,5:10,8:00,2:50,0,5201,2,50,8
Jet Airways,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,7:00,16:10,9:10,1,9134,9,10,7
Air India,18/05/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,7:00,1:20,18:20,2,13243,18,20,10
Jet Airways,27/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,5:30,4:25,22:55,2,15129,22,55,8
Jet Airways,9/5/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1:30,0,2759,1,30,8
IndiGo,15/05/2019,Banglore,Delhi,BLR → DEL,6:05,8:50,2:45,0,4423,2,45,6
Vistara,18/05/2019,Kolkata,Banglore,CCU → DEL → BLR,7:10,22:40,15:30,1,9187,15,30,5
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → HYD → COK,7:10,22:30,15:20,1,7740,15,20,8
Jet Airways,24/05/2019,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,0,6144,3h,30,10
Multiple carriers,9/6/2019,Delhi,Cochin,DEL → BOM → COK,4:55,12:35,7:40,1,10877,7,40,9
IndiGo,15/06/2019,Delhi,Cochin,DEL → HYD → COK,11:55,22:30,10:35,1,6442,10,35,8
IndiGo,27/03/2019,Delhi,Cochin,DEL → BOM → COK,4:45,15:30,10:45,1,7048,10,45,7
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,15:15,1:30,10:15,1,5797,10,15,8
Air India,3/3/2019,Banglore,New Delhi,BLR → BOM → AMD → DEL,6:45,23:55,17:10,2,10573,17,10,8
IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,8:30,21:00,12:30,1,7503,12,30,10
IndiGo,12/6/2019,Delhi,Cochin,DEL → BOM → COK,17:30,1:30,8h,1,6104,8h,30,8
Jet Airways,9/5/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,8:15,11:05,1,9663,11,5,10
Jet Airways,3/6/2019,Banglore,Delhi,BLR → DEL,11:10,14:05,2:55,0,5769,2,55,8
Air India,15/06/2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1:30,0,3100,1,30,10
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,17:30,4:25,10:55,1,12373,10,55,8
SpiceJet,15/03/2019,Kolkata,Banglore,CCU → BLR,9:00,11:30,2:30,0,3815,2,30,9
Jet Airways,15/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,12:15,12:35,24:20:00,2,14300,24,20,9
IndiGo,1/6/2019,Banglore,Delhi,BLR → DEL,7:10,10:05,2:55,0,4823,2,55,8
IndiGo,18/06/2019,Mumbai,Hyderabad,BOM → HYD,19:05,20:35,1:30,0,2754,1,30,8
Multiple carriers,3/6/2019,Delhi,Cochin,DEL → BOM → COK,6:00,19:15,13:15,1,9736,13,15,5
Jet Airways,21/03/2019,Banglore,New Delhi,BLR → MAA → DEL,9:45,14:25,4:40,1,7280,4,40,9
Multiple carriers,9/6/2019,Delhi,Cochin,DEL → BOM → COK,8:00,21:00,13h,1,7408,13h,30,10
Jet Airways,12/6/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00,16h,1,13044,16h,30,8
Air India,24/05/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,5:50,23:15,17:25,2,12723,17,25,10
Jet Airways,6/5/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,4:40,12:10,1,8586,12,10,10
IndiGo,12/6/2019,Delhi,Cochin,DEL → BOM → COK,16:00,1:30,9:30,1,6316,9,30,10
Jet Airways,9/5/2019,Delhi,Cochin,DEL → BOM → COK,9:00,19:00,10h,1,15554,10h,30,9
SpiceJet,15/03/2019,Mumbai,Hyderabad,BOM → HYD,13:10,14:30,1:20,0,2385,1,20,8
Multiple carriers,9/6/2019,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1,13587,8h,30,9
IndiGo,3/3/2019,Delhi,Cochin,DEL → BBI → COK,2:35,8:30,5:55,1,13790,5,55,10
Air India,15/05/2019,Delhi,Cochin,DEL → HYD → MAA → COK,9:45,9:25,23:40,2,10975,23,40,8
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,8:25,9:20,24:55:00,1,14388,24,55,8
Multiple carriers,6/6/2019,Delhi,Cochin,DEL → BOM → COK,18:00,1:30,7:30,1,7198,7,30,5
Jet Airways,9/5/2019,Delhi,Cochin,DEL → JAI → BOM → COK,9:40,12:35,26:55:00,2,13029,26,55,8
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,7:05,19:15,12:10,1,12717,12,10,9
IndiGo,3/3/2019,Delhi,Cochin,DEL → BOM → COK,6:40,13:20,6:40,1,14871,6,40,10
Jet Airways,6/6/2019,Kolkata,Banglore,CCU → BOM → PNQ → BLR,6:30,20:50,14:20,2,10118,14,20,10
Jet Airways,6/6/2019,Delhi,Cochin,DEL → BOM → COK,22:50,4:25,5:35,1,10262,5,35,10
Jet Airways,24/03/2019,Mumbai,Hyderabad,BOM → HYD,2:55,4:25,1:30,0,2071,1,30,9
Air India,27/04/2019,Banglore,Delhi,BLR → DEL,21:05,23:55,2:50,0,5228,2,50,5
Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,11:25,18:30,1,7832,18,30,8
Multiple carriers,6/6/2019,Delhi,Cochin,DEL → BOM → COK,11:40,21:00,9:20,1,7005,9,20,9
Jet Airways,9/6/2019,Delhi,Cochin,DEL → BDQ → BOM → COK,18:25,12:35,18:10,2,14237,18,10,9
SpiceJet,6/4/2019,Banglore,Delhi,BLR → DEL,21:10,0:05,2:55,0,3971,2,55,10
IndiGo,21/06/2019,Banglore,Delhi,BLR → DEL,22:10,1:00,2:50,0,3943,2,50,7
IndiGo,27/03/2019,Delhi,Cochin,DEL → BOM → COK,6:40,15:30,8:50,1,8574,8,50,9
Air India,15/06/2019,Delhi,Cochin,DEL → BHO → BOM → COK,5:55,19:15,13:20,2,12646,13,20,7
Jet Airways,21/03/2019,Delhi,Cochin,DEL → UDR → BOM → COK,13:00,18:50,29:50:00,2,13082,29,50,7
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,8:25,8:15,23:50,1,13941,23,50,6
GoAir,6/4/2019,Delhi,Cochin,DEL → BOM → COK,7:00,12:55,5:55,1,5135,5,55,10
Air India,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,10:00,20:25,10:25,1,11096,10,25,10
Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:50,9:30,10:40,1,13555,10,40,10
Vistara,12/4/2019,Banglore,Delhi,BLR → DEL,9:45,12:35,2:50,0,5403,2,50,10
Jet Airways,24/06/2019,Delhi,Cochin,DEL → JDH → BOM → COK,11:40,19:00,7:20,2,15812,7,20,10
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,8:15,12:15,1,14781,12,15,10
Air India,6/6/2019,Delhi,Cochin,DEL → BLR → COK,13:30,23:00,9:30,1,8907,9,30,10
Air India,3/5/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,2:35,0,4145,2,35,10
Jet Airways,9/6/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,9:45,13:20,1,14151,13,20,9
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,6:00,15:30,9:30,1,7845,9,30,6
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,9:15,19:15,10h,1,8099,10h,30,10
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,15:00,1:30,10:30,1,13377,10,30,10
Air India,12/3/2019,Banglore,New Delhi,BLR → HYD → VGA → DEL,6:50,11:20,28:30:00,2,12734,28,30,6
Jet Airways,3/6/2019,Delhi,Cochin,DEL → BOM → COK,22:50,4:25,5:35,1,10262,5,35,6
Jet Airways,15/05/2019,Banglore,Delhi,BLR → DEL,18:55,22:00,3:05,0,7229,3,5,10
Vistara,6/3/2019,Mumbai,Hyderabad,BOM → DEL → HYD,8:45,9:25,24:40:00,1,12395,24,40,10
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,19:45,9:15,13:30,1,11134,13,30,10
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,13:00,18:50,5:50,1,6540,5,50,10
Multiple carriers,6/6/2019,Delhi,Cochin,DEL → BOM → COK,6:40,19:15,12:35,1,7354,12,35,10
Air India,24/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,12:00,7:40,19:40,2,9548,19,40,10
Vistara,1/5/2019,Kolkata,Banglore,CCU → DEL → BLR,7:10,10:45,27:35:00,1,9187,27,35,6
IndiGo,9/5/2019,Delhi,Cochin,DEL → HYD → COK,7:35,12:10,4:35,1,5054,4,35,10
Air India,9/6/2019,Kolkata,Banglore,CCU → DEL → BLR,10:00,20:25,10:25,1,10413,10,25,9
IndiGo,27/05/2019,Kolkata,Banglore,CCU → BLR,21:25,0:05,2:40,0,4804,2,40,10
IndiGo,15/06/2019,Mumbai,Hyderabad,BOM → HYD,6:25,7:55,1:30,0,4049,1,30,6
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,19:00,1:30,6:30,1,6795,6,30,8
Air India,21/03/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,2:35,0,4435,2,35,10
Jet Airways,12/6/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,4:40,12:10,1,6224,12,10,10
IndiGo,12/6/2019,Kolkata,Banglore,CCU → BLR,20:20,22:55,2:35,0,4804,2,35,9
IndiGo,15/04/2019,Delhi,Cochin,DEL → HYD → COK,5:05,16:10,11:05,1,6171,11,5,8
IndiGo,3/6/2019,Delhi,Cochin,DEL → BOM → COK,11:25,21:00,9:35,1,6093,9,35,10
IndiGo,12/4/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2:35,0,4174,2,35,9
IndiGo,6/5/2019,Mumbai,Hyderabad,BOM → HYD,2:35,4:05,1:30,0,3342,1,30,8
Multiple carriers,3/6/2019,Delhi,Cochin,DEL → BOM → COK,10:00,21:00,11h,1,13587,11h,30,5
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,21:50,4:25,6:35,1,16079,6,35,8
IndiGo,18/04/2019,Delhi,Cochin,DEL → COK,5:35,8:50,3:15,0,6015,3,15,10
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,19:10,26:10:00,1,13067,26,10,7
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,4:55,12:35,7:40,1,9103,7,40,7
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,23:35,27:10:00,1,14151,27,10,10
Jet Airways,27/03/2019,Delhi,Cochin,DEL → IXC → BOM → COK,6:20,18:50,12:30,2,11538,12,30,10
IndiGo,9/3/2019,Delhi,Cochin,DEL → HYD → MAA → COK,8:35,21:20,12:45,2,8146,12,45,9
Air India,6/5/2019,Kolkata,Banglore,CCU → HYD → BLR,19:00,4:40,9:40,1,6117,9,40,8
Jet Airways,3/3/2019,Delhi,Cochin,DEL → BOM → COK,2:15,4:25,26:10:00,1,17024,26,10,7
Jet Airways,1/3/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,7:40,17:35,1,22270,17,35,10
Jet Airways,9/6/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,21:05,24:40:00,1,12692,24,40,10
Vistara,12/6/2019,Kolkata,Banglore,CCU → DEL → BLR,7:10,20:20,13:10,1,8610,13,10,7
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → HYD → COK,7:10,22:30,15:20,1,6723,15,20,9
Vistara,12/5/2019,Banglore,Delhi,BLR → DEL,17:00,19:35,2:35,0,4878,2,35,10
Jet Airways,6/3/2019,Banglore,New Delhi,BLR → BOM → DEL,20:35,7:40,11:05,1,16736,11,5,8
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,13:55,9:15,19:20,1,11134,19,20,5
IndiGo,3/5/2019,Banglore,Delhi,BLR → DEL,4:00,6:50,2:50,0,3943,2,50,10
Multiple carriers,12/6/2019,Delhi,Cochin,DEL → BOM → COK,9:00,21:00,12h,1,13587,12h,30,9
Jet Airways,6/3/2019,Delhi,Cochin,DEL → IDR → BOM → COK,5:25,4:25,23h,2,16914,23h,30,10
SpiceJet,18/05/2019,Mumbai,Hyderabad,BOM → HYD,22:45,0:15,1:30,0,1965,1,30,5
Multiple carriers,9/5/2019,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1,8073,8h,30,8
IndiGo,3/6/2019,Banglore,Delhi,BLR → DEL,13:00,15:50,2:50,0,3943,2,50,8
IndiGo,12/5/2019,Kolkata,Banglore,CCU → HYD → BLR,15:15,20:05,4:50,1,5170,4,50,5
GoAir,15/05/2019,Banglore,Delhi,BLR → DEL,11:40,14:30,2:50,0,3398,2,50,7
Air Asia,18/04/2019,Kolkata,Banglore,CCU → BLR,10:20,12:55,2:35,0,4409,2,35,9
Jet Airways,21/06/2019,Banglore,Delhi,BLR → DEL,17:45,20:45,3h,0,8541,3h,30,10
IndiGo,21/03/2019,Banglore,New Delhi,BLR → DEL,4:00,6:50,2:50,0,4777,2,50,10
SpiceJet,18/03/2019,Kolkata,Banglore,CCU → BLR,22:20,0:40,2:20,0,3847,2,20,10
Jet Airways,1/4/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,12:00,17:05,1,7064,17,5,10
Vistara,27/05/2019,Banglore,Delhi,BLR → DEL,21:00,23:50,2:50,0,4668,2,50,9
SpiceJet,18/03/2019,Mumbai,Hyderabad,BOM → HYD,22:45,0:10,1:25,0,1965,1,25,10
